ID,condition,freq,phase
13,H_syncopated,3.750,-1.496776
13,H_syncopated,4.167,1.013886
13,H_syncopated,4.583,0.772587
13,H_syncopated,5.000,0.490624
14,H_syncopated,0.417,1.027280
14,H_syncopated,0.833,-1.259649
14,H_syncopated,1.250,-2.155959
14,H_syncopated,1.667,-1.779313
14,H_syncopated,2.083,-1.214405
14,H_syncopated,2.500,1.180084
14,H_syncopated,2.917,-0.358598
14,H_syncopated,3.333,-1.613698
14,H_syncopated,3.750,-1.237195
14,H_syncopated,4.167,-0.016662
14,H_syncopated,4.583,-0.027216
14,H_syncopated,5.000,-0.535719
1,L_unsyncopated,0.417,-1.728005
1,L_unsyncopated,0.833,1.754511
1,L_unsyncopated,1.250,0.611829
1,L_unsyncopated,1.667,-0.359777
1,L_unsyncopated,2.083,2.028599
1,L_unsyncopated,2.500,0.404446
1,L_unsyncopated,2.917,-2.255286
1,L_unsyncopated,3.333,0.640221
1,L_unsyncopated,3.750,0.465204
1,L_unsyncopated,4.167,-0.934941
1,L_unsyncopated,4.583,0.228700
1,L_unsyncopated,5.000,-0.666127
2,L_unsyncopated,0.417,-0.056276
2,L_unsyncopated,0.833,-1.260924
2,L_unsyncopated,1.250,1.288995
2,L_unsyncopated,1.667,0.571831
2,L_unsyncopated,2.083,1.460639
2,L_unsyncopated,2.500,-1.030544
2,L_unsyncopated,2.917,-0.829381
2,L_unsyncopated,3.333,-1.231854
2,L_unsyncopated,3.750,-1.748744
2,L_unsyncopated,4.167,2.400878
2,L_unsyncopated,4.583,2.295981
2,L_unsyncopated,5.000,-0.701483
3,L_unsyncopated,0.417,-0.456877
3,L_unsyncopated,0.833,0.305819
3,L_unsyncopated,1.250,-0.310027
3,L_unsyncopated,1.667,-1.552646
3,L_unsyncopated,2.083,1.467909
3,L_unsyncopated,2.500,0.741759
3,L_unsyncopated,2.917,-0.386725
3,L_unsyncopated,3.333,2.092114
3,L_unsyncopated,3.750,0.026955
3,L_unsyncopated,4.167,-0.086702
3,L_unsyncopated,4.583,0.969965
3,L_unsyncopated,5.000,-1.691890
4,L_unsyncopated,0.417,0.332818
4,L_unsyncopated,0.833,1.978851
4,L_unsyncopated,1.250,1.202055
4,L_unsyncopated,1.667,0.349831
4,L_unsyncopated,2.083,2.601641
4,L_unsyncopated,2.500,1.698020
4,L_unsyncopated,2.917,-0.382697
4,L_unsyncopated,3.333,0.862535
4,L_unsyncopated,3.750,0.922552
4,L_unsyncopated,4.167,-1.283039
4,L_unsyncopated,4.583,-2.185458
4,L_unsyncopated,5.000,-0.444011
5,L_unsyncopated,0.417,-2.064175
5,L_unsyncopated,0.833,2.101685
5,L_unsyncopated,1.250,-0.015233
5,L_unsyncopated,1.667,-1.215953
5,L_unsyncopated,2.083,1.575708
5,L_unsyncopated,2.500,0.679644
5,L_unsyncopated,2.917,-1.298049
5,L_unsyncopated,3.333,1.437069
5,L_unsyncopated,3.750,0.973021
5,L_unsyncopated,4.167,-1.097761
5,L_unsyncopated,4.583,0.425697
5,L_unsyncopated,5.000,-1.158696
6,L_unsyncopated,0.417,1.217127
6,L_unsyncopated,0.833,2.564883
6,L_unsyncopated,1.250,0.324186
6,L_unsyncopated,1.667,0.052519
6,L_unsyncopated,2.083,-1.620429
6,L_unsyncopated,2.500,0.795783
6,L_unsyncopated,2.917,-1.318262
6,L_unsyncopated,3.333,-1.434819
6,L_unsyncopated,3.750,1.381814
6,L_unsyncopated,4.167,-2.195500
6,L_unsyncopated,4.583,-0.959403
6,L_unsyncopated,5.000,0.072861
7,L_unsyncopated,0.417,-0.146362
7,L_unsyncopated,0.833,1.588943
7,L_unsyncopated,1.250,1.151111
7,L_unsyncopated,1.667,0.908032
7,L_unsyncopated,2.083,-0.375291
7,L_unsyncopated,2.500,1.671025
7,L_unsyncopated,2.917,2.035240
7,L_unsyncopated,3.333,-1.894139
7,L_unsyncopated,3.750,0.867776
7,L_unsyncopated,4.167,2.152303
7,L_unsyncopated,4.583,2.432146
7,L_unsyncopated,5.000,-1.031408
8,L_unsyncopated,0.417,-1.782754
8,L_unsyncopated,0.833,-0.939022
8,L_unsyncopated,1.250,0.814393
8,L_unsyncopated,1.667,2.474296
8,L_unsyncopated,2.083,1.593457
8,L_unsyncopated,2.500,-1.483742
8,L_unsyncopated,2.917,-0.438348
8,L_unsyncopated,3.333,-1.654672
8,L_unsyncopated,3.750,0.750623
8,L_unsyncopated,4.167,-0.197469
8,L_unsyncopated,4.583,2.240588
8,L_unsyncopated,5.000,-1.130952
9,L_unsyncopated,0.417,0.112257
9,L_unsyncopated,0.833,1.507137
9,L_unsyncopated,1.250,1.285813
9,L_unsyncopated,1.667,-0.450181
9,L_unsyncopated,2.083,-1.230694
9,L_unsyncopated,2.500,1.751173
9,L_unsyncopated,2.917,-2.478250
9,L_unsyncopated,3.333,1.981532
9,L_unsyncopated,3.750,0.992461
9,L_unsyncopated,4.167,2.138160
9,L_unsyncopated,4.583,1.505259
9,L_unsyncopated,5.000,-0.808530
10,L_unsyncopated,0.417,-1.001331
10,L_unsyncopated,0.833,-0.872150
10,L_unsyncopated,1.250,0.836928
10,L_unsyncopated,1.667,1.608552
10,L_unsyncopated,2.083,1.861916
10,L_unsyncopated,2.500,0.784073
10,L_unsyncopated,2.917,-2.130186
10,L_unsyncopated,3.333,0.418297
10,L_unsyncopated,3.750,0.315649
10,L_unsyncopated,4.167,2.236549
10,L_unsyncopated,4.583,1.920425
10,L_unsyncopated,5.000,-1.189927
11,L_unsyncopated,0.417,-1.514488
11,L_unsyncopated,0.833,-1.676875
11,L_unsyncopated,1.250,0.601515
11,L_unsyncopated,1.667,-0.403886
11,L_unsyncopated,2.083,1.255624
11,L_unsyncopated,2.500,1.526884
11,L_unsyncopated,2.917,0.007624
11,L_unsyncopated,3.333,-0.954723
11,L_unsyncopated,3.750,1.889523
11,L_unsyncopated,4.167,-1.731521
11,L_unsyncopated,4.583,0.176319
11,L_unsyncopated,5.000,-2.318938
12,L_unsyncopated,0.417,-1.066169
12,L_unsyncopated,0.833,-1.387700
12,L_unsyncopated,1.250,1.288423
12,L_unsyncopated,1.667,1.127716
12,L_unsyncopated,2.083,1.059961
12,L_unsyncopated,2.500,-2.453049
12,L_unsyncopated,2.917,-0.125307
12,L_unsyncopated,3.333,-1.576669
12,L_unsyncopated,3.750,-0.108107
12,L_unsyncopated,4.167,0.582928
12,L_unsyncopated,4.583,1.851534
12,L_unsyncopated,5.000,-1.351537
13,L_unsyncopated,0.417,-1.251537
13,L_unsyncopated,0.833,-1.922339
13,L_unsyncopated,1.250,0.941912
13,L_unsyncopated,1.667,0.835855
13,L_unsyncopated,2.083,-2.182940
13,L_unsyncopated,2.500,1.236210
13,L_unsyncopated,2.917,-1.048044
13,L_unsyncopated,3.333,2.055507
13,L_unsyncopated,3.750,1.056368
13,L_unsyncopated,4.167,0.838716
13,L_unsyncopated,4.583,2.551317
13,L_unsyncopated,5.000,-0.919345
14,L_unsyncopated,0.417,-1.051916
14,L_unsyncopated,0.833,-2.555623
14,L_unsyncopated,1.250,0.993943
14,L_unsyncopated,1.667,-0.475008
14,L_unsyncopated,2.083,1.209474
14,L_unsyncopated,2.500,0.238177
14,L_unsyncopated,2.917,0.096570
14,L_unsyncopated,3.333,1.108601
14,L_unsyncopated,3.750,0.511312
14,L_unsyncopated,4.167,1.726941
