"ID","condition","binshift","freq","r"
"2","H_unsyncopated","-16","2.083","0.584687"
"2","H_unsyncopated","-16","2.5","0.424452"
"2","H_unsyncopated","-16","2.917","0.618764"
"2","H_unsyncopated","-16","3.333","0.446067"
"2","H_unsyncopated","-16","3.75","0.510134"
"2","H_unsyncopated","-16","4.167","0.334977"
"2","H_unsyncopated","-16","4.583","0.215024"
"2","H_unsyncopated","-16","5","0.410217"
"2","H_unsyncopated","-15","0.417","0.901627"
"2","H_unsyncopated","-15","0.833","0.22276"
"2","H_unsyncopated","-15","1.25","0.667119"
"2","H_unsyncopated","-15","1.667","0.751948"
"2","H_unsyncopated","-15","2.083","0.371681"
"2","H_unsyncopated","-15","2.5","0.188291"
